rank,tier,score,title,company,location,source,url,posted_at,signals
1,WARM,45,"Director of Engineering, APAC",BAC ASIA,"Singapore, Singapore",linkedin,https://sg.linkedin.com/jobs/view/director-of-engineering-apac-at-bac-asia-4375302553,2026-03-23,"title_senior, title_tech"
2,WARM,45,VP of Engineering & Technology,Scion Staffing,"New York, NY",linkedin,https://www.linkedin.com/jobs/view/vp-of-engineering-technology-at-scion-staffing-4383789140,2026-03-20,"title_senior, title_tech"
3,WARM,45,VP of Engineering and Advanced Technologies- Components Business- Tata Electronics,Tata Electronics,Greater Bengaluru Area,linkedin,https://in.linkedin.com/jobs/view/vp-of-engineering-and-advanced-technologies-components-business-tata-electronics-at-tata-electronics-4378925989,2026-03-17,"title_senior, title_tech"
4,WARM,45,VP of Engineering & Technology,Scion Staffing,"New York, United States",linkedin,https://www.linkedin.com/jobs/view/vp-of-engineering-technology-at-scion-staffing-4382440494,2026-03-10,"title_senior, title_tech"
5,WARM,45,"Director of Engineering, APAC",BAC ASIA,"Petaling, Selangor, Malaysia",linkedin,https://my.linkedin.com/jobs/view/director-of-engineering-apac-at-bac-asia-4374985655,2026-03-23,"title_senior, title_tech"
6,WARM,45,"Director of Engineering ($128,200 – $198,700)",Hyatt Regency,"Huntington Beach, CA",linkedin,https://www.linkedin.com/jobs/view/director-of-engineering-%24128-200-%E2%80%93-%24198-700-at-hyatt-regency-4378788495,2026-03-25,"title_senior, title_tech"
7,WARM,45,VP Engineering,Litmus,"Santa Clara, CA",linkedin,https://www.linkedin.com/jobs/view/vp-engineering-at-litmus-4292806055,2026-03-10,"title_senior, title_tech"
8,WARM,45,"Senior Director, Engineering & Manufacturing Excellence  - Indonesia/India",adidas,"Jakarta, Jakarta, Indonesia",linkedin,https://id.linkedin.com/jobs/view/senior-director-engineering-manufacturing-excellence-indonesia-india-at-adidas-4364596694,2026-03-09,"title_senior, title_tech"
9,WARM,45,"Director of Engineering, APAC",BAC ASIA,"Petaling, Selangor, Malaysia",linkedin,https://my.linkedin.com/jobs/view/director-of-engineering-apac-at-bac-asia-4374985655,2026-03-23,"title_senior, title_tech"
10,WARM,45,VP of Engineering,First Circle,"London, England, United Kingdom",linkedin,https://uk.linkedin.com/jobs/view/vp-of-engineering-at-first-circle-4390009746,2026-03-25,"title_senior, title_tech"
11,WARM,45,"Regional Director, Automotive Engineering",Bose Corporation,"Stuttgart, Baden-Württemberg, Germany",linkedin,https://de.linkedin.com/jobs/view/regional-director-automotive-engineering-at-bose-corporation-4371967325,2026-03-10,"title_senior, title_tech"
12,WARM,45,Regional Engineering Head Africa,Reckitt,"Johannesburg, Gauteng, South Africa",linkedin,https://za.linkedin.com/jobs/view/regional-engineering-head-africa-at-reckitt-4382981922,2026-03-09,"title_senior, title_tech"
13,WARM,45,Director of Engineering,Anantara Hotels & Resorts,"Ubud, Bali, Indonesia",linkedin,https://id.linkedin.com/jobs/view/director-of-engineering-at-anantara-hotels-resorts-4389974708,2026-03-25,"title_senior, title_tech"
14,WARM,45,"Head of Engineering, North America Operating Unit Product Organization",The Coca-Cola Company,"Atlanta, GA",linkedin,https://www.linkedin.com/jobs/view/head-of-engineering-north-america-operating-unit-product-organization-at-the-coca-cola-company-4386561013,2026-03-16,"title_senior, title_tech"
15,WARM,45,Chief Technology Officer (CTO) at Telehealth Platform,Mind Friend,Greater Kolkata Area,linkedin,https://in.linkedin.com/jobs/view/chief-technology-officer-cto-at-telehealth-platform-at-mind-friend-4390631595,2026-03-25,"title_senior, title_tech"
16,WARM,45,Director of Engineering,QD-SBG Construction,"Doha, Qatar",linkedin,https://qa.linkedin.com/jobs/view/director-of-engineering-at-qd-sbg-construction-4390812840,2026-03-26,"title_senior, title_tech"
17,WARM,45,"Director, Software Engineering- Ads AI",LinkedIn,"Mountain View, CA",linkedin,https://www.linkedin.com/jobs/view/director-software-engineering-ads-ai-at-linkedin-4389264162,2026-03-23,"title_senior, title_tech"
